FINLWT21,FINCBTAX,BLS_URBN,POPSIZE,EDUC_REF,EDUCA2,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,HISP_REF,HISP2,FAM_TYPE,MARITAL1,REGION,SMSASTAT,HIGH_EDU,EHOUSNGC,TOTEXPCQ,FOODCQ,TRANSCQ,HEALTHCQ,ENTERTCQ,EDUCACQ,TOBACCCQ,STUDFINX,IRAX,CUTENURE,FAM_SIZE,VEHQ,ROOMSQ,INC_HRS1,INC_HRS2,EARNCOMP,NO_EARNR,OCCUCOD1,OCCUCOD2,STATE,DIVISION,TOTXEST,CREDFINX,CREDITB,CREDITX,BUILDING,ST_HOUS,INT_PHON,INT_HOME
23819.199,12000,1,3,12,NA,50,.,2,NA,2,NA,2,NA,8,5,3,1,12,0,0,0,0,0,0,0,0,.,0,4,1,2,6,60,.,1,1,03,NA,37,5,-17,.,NA,.,01,2,NA,NA
12441.629,0,2,5,14,15,71,47,1,2,1,1,2,2,4,1,4,2,15,0,0,0,0,0,0,0,0,.,.,2,4,1,6,.,40,6,2,NA,10,NA,NA,-6526,.,NA,.,01,2,NA,NA
17474.335,32000,1,2,13,NA,29,.,2,NA,2,NA,2,NA,8,5,2,1,13,0,0,0,0,0,0,0,0,0,.,4,1,1,3,40,.,1,1,06,NA,29,4,3809,.,NA,.,05,2,NA,NA
23562.292,27200,1,1,12,NA,49,.,1,NA,1,NA,2,NA,8,5,1,1,12,0,0,0,0,0,0,0,0,.,240000,2,1,0,5,40,.,1,1,10,NA,34,2,1661,.,NA,.,08,2,NA,NA
16679.236,22000,1,2,12,10,23,22,2,1,1,1,1,1,2,1,2,1,12,0,0,0,0,0,0,0,0,.,0,4,3,1,4,10,40,2,2,10,12,39,3,-4346,.,NA,.,08,2,NA,NA
15263.089,0,1,4,15,NA,69,.,2,NA,1,NA,2,NA,8,2,3,1,15,0,0,0,0,0,0,0,0,.,.,2,1,1,7,50,.,1,1,04,NA,48,7,3759,.,NA,.,01,2,NA,NA
24300.674,169000,1,1,15,NA,39,.,2,NA,2,NA,2,NA,9,5,1,1,15,0,0,0,0,0,0,0,0,.,166000,1,3,2,6,35,.,4,2,08,NA,36,2,32984,25,NA,3000,01,2,NA,NA
30132.573,18392,1,2,13,NA,56,.,2,NA,2,NA,2,NA,9,5,1,1,13,0,0,0,0,0,0,0,0,.,3000,4,2,1,4,.,.,7,1,NA,NA,36,2,-100,25,NA,100,08,2,NA,NA
23606.967,31840,1,2,12,NA,33,.,2,NA,2,NA,2,NA,7,5,2,1,12,0,0,0,0,0,0,0,0,.,0,4,5,0,8,32,.,1,1,10,NA,55,3,-9542,.,NA,.,01,2,NA,NA
24654.559,0,1,4,15,15,37,42,2,1,1,1,2,2,3,1,4,1,15,0,0,0,0,0,0,0,0,.,.,1,4,2,7,40,40,2,2,04,10,06,9,11344,.,NA,.,01,2,NA,NA
